,id,usuario_id,curp,nombres,apellido_paterno,apellido_materno,fecha_nacimiento,genero,nacionalidad,talla_playera,talla_pantalon,talla_calzado,peso,estatura,banco,nivel_estudios,nivel_estudios_deseado,experiencia_ciencia,experiencia_arte,interes_desarrollo_comunitario,razones_interes,profesion_interes,interes_incorporacion,codigo_postal,estado,colonia,municipio,localidad,calle,numero_exterior,numero_interior,estado_deseado,municipio_deseado,certificado,identificacion,estado_cuenta
1215,1216,1222,SOBH5779W02ABDT8,Gloria,Guzmán,Herrera,1980-05-08,O,Granadina,XXL,M,29,100.86,2.00,Scotiabank,Secundaria,Secundaria,Otro,Artes Plásticas,True,Razón 5,Profesión 1,Interés 3,86617,Tabasco,La Gloria,El Llano,Jesús María,Juárez,209,79,Oaxaca,Asientos,/,/,/
1216,1217,1223,JAPV1530C09OQVN1,Antonio,Esparza,Martínez,1999-03-18,M,Peruano,L,M,27,82.45,2.00,BanCoppel,Preparatoria,Preparatoria,Física,Literatura,True,Razón 2,Profesión 3,Interés 2,92620,Veracruz,La Palma,Rincón de Romos,Calvillo,Revolución,660,15,Puebla,Aguascalientes,/,/,/
1217,1218,1224,VUVB8387P76EWXC1,Alejandro,Sánchez,Zamora,1979-12-02,F,Sancristobaleño,XS,XXL,32,118.28,2.00,Inbursa,Secundaria,Secundaria,Física,Literatura,True,Razón 4,Profesión 3,Interés 5,73967,Puebla,La Soledad,Tepezalá,Cosío,Ortiz,128,3,Sonora,Asientos,/,/,/
1218,1219,1225,MORL4524X93UZGM3,Luis,Gómez,Rojas,2002-08-21,M,Boliviana,XS,S,30,76.33,2.00,Banco del Bajío,Licenciatura,Licenciatura,Ninguna,Artes Plásticas,False,Razón 5,Profesión 3,Interés 4,34620,Durango,San Pedro,Ensenada,Asientos,Flores,703,21,Tlaxcala,Ensenada,/,/,/
1219,1220,1226,DAWY2655T43UFDN2,Rosa,Cuevas,Pérez,1980-01-26,O,Santalucense,L,L,22,114.91,2.00,BanCoppel,Secundaria,Secundaria,Biología,Teatro,False,Razón 1,Profesión 1,Interés 5,28547,Colima,La Marina,Pabellón de Arteaga,Asientos,Reyes,712,97,Mexico,Cosío,/,/,/
1220,1221,1227,XUSS8122T28EYRD7,Leticia,Valdés,Vargas,1962-07-13,O,Boliviana,S,XXL,33,92.71,2.00,Banorte,Primaria,Primaria,Otro,Artes Plásticas,False,Razón 5,Profesión 2,Interés 1,90793,Tlaxcala,La Esperanza,Tepezalá,Pabellón de Arteaga,González,536,42,Mexico,San José de Gracia,/,/,/
1221,1222,1228,VIZQ3553S51OQHH5,Lilia,Cuevas,Flores,1969-12-08,O,Granadina,S,S,23,91.12,2.00,BanCoppel,Primaria,Primaria,Biología,Música,True,Razón 3,Profesión 3,Interés 5,62686,Morelos,Centro,Rincón de Romos,San José de Gracia,Hidalgo,703,45,Baja California Sur,Ensenada,/,/,/
1222,1223,1229,XIMC3740V28UNSJ4,Rosa,Fernández,Salazar,2000-04-27,O,Boliviano,XXL,L,34,95.93,2.00,BBVA,Licenciatura,Licenciatura,Otro,Literatura,False,Razón 3,Profesión 4,Interés 4,99596,Zacatecas,La Fe,Ensenada,Asientos,Revolución,475,10,Tlaxcala,Calvillo,/,/,/
1223,1224,1230,MIBV3624J70UPMX8,Gloria,Rivera,Lara,1982-12-14,M,Trinitense,L,XXL,30,86.88,2.00,Banamex,Secundaria,Secundaria,Física,Música,True,Razón 3,Profesión 3,Interés 2,63866,Nayarit,La Cascada,Ensenada,Rincón de Romos,González,804,61,Baja California,Ensenada,/,/,/
1224,1225,1231,WUYP9256V73ONVL1,Oscar,Vega,Pacheco,1968-02-14,F,Guatemalteco,XL,XL,30,112.43,2.00,Banco del Bajío,Primaria,Primaria,Otro,Teatro,True,Razón 2,Profesión 2,Interés 4,63791,Nayarit,San Miguel,Cosío,El Llano,González,734,18,Puebla,El Llano,/,/,/
1225,1226,1232,LAWP3249H60ERQZ1,Yolanda,Esparza,Rivera,1994-12-08,O,Argentino,S,XXL,30,117.39,2.00,Banorte,Licenciatura,Licenciatura,Ninguna,Ninguna,False,Razón 5,Profesión 5,Interés 3,86866,Tabasco,La Luz,El Llano,San José de Gracia,Reyes,143,77,Colima,Rincón de Romos,/,/,/
1226,1227,1233,DUWP0690B58EMKZ5,Gerardo,Zamora,Esparza,1976-01-06,M,Dominicana,XS,L,33,44.50,2.00,Inbursa,Primaria,Primaria,Ninguna,Artes Plásticas,True,Razón 5,Profesión 4,Interés 3,59201,Michoacán,La Playa,El Llano,Calvillo,Rojas,779,11,Hidalgo,Ensenada,/,/,/
1227,1228,1234,NACL3491V92IRVV9,Guadalupe,Cárdenas,Lara,1987-03-28,O,Uruguaya,XS,S,23,88.12,2.00,Banco Azteca,Primaria,Primaria,Biología,Música,True,Razón 2,Profesión 3,Interés 1,24879,Campeche,La Libertad,Tepezalá,Aguascalientes,Jiménez,87,12,Michoacan,El Llano,/,/,/
1228,1229,1235,YUXM2782D01ENQY5,Beatriz,Ortiz,Sánchez,1995-03-07,F,Venezolano,XXL,XXL,29,40.02,2.00,BBVA,Secundaria,Secundaria,Biología,Artes Plásticas,True,Razón 5,Profesión 3,Interés 5,30700,Chiapas,La Estrella,Jesús María,Aguascalientes,García,210,91,Nuevo León,Tepezalá,/,/,/
1229,1230,1236,YIYQ9041H72OHYR1,Arturo,Fernández,Navarro,1971-04-25,O,Guatemalteco,M,L,29,42.78,2.00,BBVA,Preparatoria,Preparatoria,Ninguna,Artes Plásticas,False,Razón 2,Profesión 4,Interés 1,99494,Zacatecas,La Fe,Cosío,Jesús María,Morales,943,2,Aguascalientes,San José de Gracia,/,/,/
1230,1231,1237,PEXK3283Y31OCMS1,Ernesto,Castañeda,Valencia,1963-07-27,F,Nicaragüense,XS,S,35,71.55,2.00,Banco Azteca,Secundaria,Secundaria,Ninguna,Teatro,False,Razón 3,Profesión 3,Interés 5,97175,Yucatán,La Cañada,Calvillo,Tepezalá,Torres,795,1,Mexico,Aguascalientes,/,/,/
1231,1232,1238,QEVQ3340S91ABNP0,José,Fernández,Cárdenas,1975-08-28,M,Dominiqués,XL,XL,24,43.54,2.00,Banco del Bajío,Preparatoria,Preparatoria,Ninguna,Ninguna,True,Razón 4,Profesión 4,Interés 3,5374,Ciudad de México,La Cascada,Ensenada,Pabellón de Arteaga,Guzmán,409,73,Campeche,Calvillo,/,/,/
1232,1233,1239,WALX4658R94ICJR5,Fernando,Vargas,Aguilar,1985-09-11,O,Argentino,XXL,L,26,106.25,2.00,Santander,Preparatoria,Preparatoria,Química,Teatro,False,Razón 4,Profesión 1,Interés 3,86116,Tabasco,San Miguel,Asientos,San José de Gracia,Aguirre,563,88,Sinaloa,Pabellón de Arteaga,/,/,/
1233,1234,1240,QUFN4323J26USQT3,Rosa,Santos,Bautista,1964-11-06,M,Barbudense,XS,M,24,65.97,2.00,Banorte,Preparatoria,Preparatoria,Ninguna,Artes Plásticas,False,Razón 1,Profesión 1,Interés 2,68799,Oaxaca,La Luz,San José de Gracia,Cosío,Silva,656,22,Puebla,Asientos,/,/,/
1234,1235,1241,TEMP5542Q12EPBY1,Laura,Cisneros,Lara,1983-02-08,F,Nicaragüense,XXL,XXL,25,79.83,2.00,Banco Azteca,Secundaria,Secundaria,Física,Teatro,False,Razón 1,Profesión 4,Interés 4,74967,Puebla,San Juan,El Llano,San José de Gracia,Hidalgo,432,95,Aguascalientes,Rincón de Romos,/,/,/
1235,1236,1242,QAZF7153F33UBTT8,Leticia,Carrillo,Villarreal,1976-04-10,F,Dominiqués,XXL,L,32,84.54,2.00,Banamex,Primaria,Primaria,Otro,Artes Plásticas,False,Razón 3,Profesión 2,Interés 1,24032,Campeche,San Pedro,Calvillo,Calvillo,Torres,166,84,Campeche,Jesús María,/,/,/
1236,1237,1243,SACD8785T10OMFN5,María,Aguayo,Sánchez,1970-01-15,O,Dominicano,L,L,33,65.91,2.00,Banco del Bajío,Secundaria,Secundaria,Ninguna,Artes Plásticas,True,Razón 1,Profesión 3,Interés 2,79744,San Luis Potosí,La Cañada,Cosío,Jesús María,Hidalgo,492,57,Nuevo León,Rincón de Romos,/,/,/
1237,1238,1244,WALW1430V44UHGV5,Silvia,Cárdenas,Castillo,1969-05-20,F,Española,XS,XL,23,47.03,2.00,BanCoppel,Secundaria,Secundaria,Ninguna,Artes Plásticas,True,Razón 2,Profesión 4,Interés 3,47569,Jalisco,La Cumbre,San José de Gracia,Rincón de Romos,Revolución,661,12,Yucatan,El Llano,/,/,/
1238,1239,1245,YEBW4309M91OVBS0,Raúl,Pacheco,García,1966-04-19,F,Jamaicana,M,XXL,29,67.15,2.00,HSBC,Licenciatura,Licenciatura,Ninguna,Artes Plásticas,False,Razón 2,Profesión 1,Interés 2,42176,Hidalgo,La Fortuna,Pabellón de Arteaga,Pabellón de Arteaga,Cortés,453,96,Tlaxcala,Pabellón de Arteaga,/,/,/
1239,1240,1246,ZANP8445P66IKRG2,Isabel,Esparza,Villalobos,2000-02-03,F,Haitiana,M,M,22,42.42,2.00,BanCoppel,Licenciatura,Licenciatura,Ninguna,Literatura,True,Razón 5,Profesión 5,Interés 1,46684,Jalisco,La Joya,San José de Gracia,Aguascalientes,Rivera,369,56,Tamaulipas,Calvillo,/,/,/
1240,1241,1247,SOYR6815M40UGMN8,Leticia,Cisneros,Lugo,1975-07-01,M,Brasileña,XS,M,27,85.19,2.00,Santander,Primaria,Primaria,Ninguna,Artes Plásticas,True,Razón 1,Profesión 5,Interés 4,20092,Aguascalientes,La Soledad,Cosío,Cosío,Zaragoza,975,14,Oaxaca,Pabellón de Arteaga,/,/,/
1241,1242,1248,ZOBV5473Z24IHNQ3,Miguel,Sosa,Guzmán,1968-04-17,O,Guayanés,XL,XS,29,113.43,2.00,Banorte,Licenciatura,Licenciatura,Química,Música,True,Razón 5,Profesión 2,Interés 2,1929,Ciudad de México,La Paz,Aguascalientes,Tepezalá,Aguilar,885,32,Querétaro,Pabellón de Arteaga,/,/,/
1242,1243,1249,LIDG5843W31EZNF8,Marisol,Castillo,Hernández,1981-04-04,F,Hondureña,L,XS,25,66.02,2.00,Banco Azteca,Preparatoria,Preparatoria,Ninguna,Música,True,Razón 2,Profesión 3,Interés 2,32680,Chihuahua,La Paz,Aguascalientes,San José de Gracia,Ortiz,467,49,Aguascalientes,Pabellón de Arteaga,/,/,/
1243,1244,1250,GIZC4993Y81IQVR3,Irma,Aguayo,Castañeda,2001-12-03,O,Peruano,XL,XL,23,81.82,2.00,BanCoppel,Licenciatura,Licenciatura,Ninguna,Ninguna,True,Razón 2,Profesión 4,Interés 4,35636,Durango,La Cañada,Pabellón de Arteaga,San José de Gracia,Ramírez,454,79,Baja California,Cosío,/,/,/
1244,1245,1251,WOQQ2692M80AXNR3,Arturo,Cruz,Vega,1983-06-23,O,Peruano,XS,XL,25,114.81,2.00,BanCoppel,Secundaria,Secundaria,Biología,Música,True,Razón 2,Profesión 3,Interés 5,12007,Ciudad de México,San José,Pabellón de Arteaga,Asientos,García,696,6,Durango,Rincón de Romos,/,/,/
1245,1246,1252,BOYB7658Y66IQFZ1,Dulce,Campos,Villalobos,1969-05-12,F,Santalucense,XXL,L,30,79.42,2.00,HSBC,Primaria,Primaria,Química,Teatro,True,Razón 3,Profesión 1,Interés 3,39142,Guerrero,La Libertad,Aguascalientes,El Llano,Jiménez,27,2,Sinaloa,San José de Gracia,/,/,/
1246,1247,1253,VUMJ2989T27OQHY6,Oscar,Sosa,Valenzuela,1969-04-08,M,Argentina,XXL,S,31,106.52,2.00,Banco del Bajío,Preparatoria,Preparatoria,Química,Ninguna,True,Razón 3,Profesión 2,Interés 1,27200,Coahuila,La Playa,Asientos,Calvillo,Madero,182,15,Aguascalientes,Pabellón de Arteaga,/,/,/
1247,1248,1254,FINH0003V91UXYF6,Roberto,Cervantes,León,1990-11-07,O,Hondureño,L,XL,30,109.32,2.00,BanCoppel,Preparatoria,Preparatoria,Otro,Música,False,Razón 2,Profesión 4,Interés 5,98476,Zacatecas,La Perla,Ensenada,El Llano,Ortiz,783,34,Yucatan,Asientos,/,/,/
1248,1249,1255,MISQ9848J18IPLN1,Oscar,Montes,Cabrera,1997-02-01,F,Surinamés,XL,L,26,97.84,2.00,Banorte,Licenciatura,Licenciatura,Física,Ninguna,False,Razón 2,Profesión 3,Interés 1,69761,Oaxaca,La Fe,San José de Gracia,Rincón de Romos,Aguirre,719,46,Tlaxcala,Rincón de Romos,/,/,/
1249,1250,1256,PEZL3407D52AHLF5,Ana,Silva,Salazar,1978-04-04,O,Argentina,L,M,31,57.50,2.00,Santander,Preparatoria,Preparatoria,Biología,Literatura,False,Razón 4,Profesión 2,Interés 2,23323,Baja California Sur,San Miguel,Cosío,Asientos,Revolución,898,89,Yucatan,Ensenada,/,/,/
1250,1251,1257,TUQM0070X71UJHR2,Carmen,Lara,Villalobos,1973-11-02,M,Sanmartinense,L,XXL,35,97.84,2.00,Banco del Bajío,Licenciatura,Licenciatura,Química,Ninguna,False,Razón 4,Profesión 2,Interés 5,33178,Chihuahua,La Fe,Asientos,Cosío,Díaz,429,60,Tlaxcala,Aguascalientes,/,/,/
1251,1252,1258,NAHV4475P48UVKB2,Guadalupe,Mendoza,Ruiz,1976-09-18,M,Venezolana,L,L,29,98.91,2.00,BanCoppel,Secundaria,Secundaria,Química,Literatura,False,Razón 4,Profesión 2,Interés 2,28362,Colima,San Antonio,Jesús María,Rincón de Romos,Vázquez,334,61,Colima,Cosío,/,/,/
1252,1253,1259,VABM6011Y95UFYJ3,Fernando,Rosas,Villalobos,2003-09-19,M,Nicaragüense,XS,XL,35,112.51,2.00,Banorte,Licenciatura,Licenciatura,Física,Literatura,False,Razón 1,Profesión 2,Interés 2,75629,Puebla,La Playa,Rincón de Romos,Asientos,Cortés,896,86,Morelos,Cosío,/,/,/
1253,1254,1260,YESL6706F47EQFB1,Arturo,Montes,León,1986-09-06,O,Mexicana,XS,XS,25,94.94,2.00,BBVA,Primaria,Primaria,Física,Literatura,True,Razón 2,Profesión 2,Interés 1,86849,Tabasco,La Unión,Rincón de Romos,Jesús María,Jiménez,310,55,Tabasco,San José de Gracia,/,/,/
1254,1255,1261,FEWS2569T16OZMX8,Arturo,Mendoza,Montes,1991-08-14,F,Francesa,L,XXL,30,63.30,2.00,Santander,Licenciatura,Licenciatura,Otro,Literatura,True,Razón 5,Profesión 2,Interés 3,26296,Coahuila,La Cumbre,Aguascalientes,Aguascalientes,León,541,10,Querétaro,Cosío,/,/,/
1255,1256,1262,DIBL2843V97UZXT3,Alejandro,Valdés,Santos,1960-01-27,M,Hondureño,XXL,XXL,35,56.24,2.00,Scotiabank,Primaria,Primaria,Física,Literatura,False,Razón 5,Profesión 4,Interés 2,21627,Baja California,San Antonio,San José de Gracia,Tepezalá,Medina,934,54,CDMX,Tepezalá,/,/,/
1256,1257,1263,PINH2985J78UYCT2,Rosa,Aguilar,Villarreal,1965-06-28,O,Guatemalteca,L,S,27,42.83,2.00,HSBC,Secundaria,Secundaria,Otro,Literatura,True,Razón 2,Profesión 3,Interés 4,27370,Coahuila,La Palma,Rincón de Romos,Aguascalientes,Sánchez,485,4,Baja California Sur,Cosío,/,/,/
1257,1258,1264,ZACJ0957N13ADYZ4,Oscar,Castillo,Esparza,1986-03-19,M,Dominiqués,M,XL,23,95.20,2.00,Inbursa,Licenciatura,Licenciatura,Ninguna,Música,True,Razón 5,Profesión 2,Interés 3,34486,Durango,La Marina,Pabellón de Arteaga,Calvillo,Morales,525,63,Puebla,Tepezalá,/,/,/
1258,1259,1265,WAMG8448X80OBBH1,Gerardo,González,Cervantes,1964-03-21,M,Nicaragüense,L,S,29,111.46,2.00,Banorte,Preparatoria,Preparatoria,Biología,Ninguna,True,Razón 2,Profesión 5,Interés 1,74975,Puebla,La Montaña,El Llano,Aguascalientes,Zaragoza,178,15,Tamaulipas,Ensenada,/,/,/
1259,1260,1266,MANY9573W82IFTD1,Fernando,Cabrera,Aguilar,1972-04-25,O,Brasileña,XL,S,33,108.72,2.00,Santander,Licenciatura,Licenciatura,Ninguna,Artes Plásticas,False,Razón 1,Profesión 3,Interés 3,88508,Tamaulipas,La Cumbre,Rincón de Romos,Jesús María,Carranza,66,65,Michoacan,El Llano,/,/,/
1260,1261,1267,WAMF4779P22OWBX9,Alberto,Lugo,Bautista,2001-12-12,O,Canadiense,XS,XS,24,83.10,2.00,Banco del Bajío,Primaria,Primaria,Física,Artes Plásticas,True,Razón 3,Profesión 1,Interés 4,97220,Yucatán,San Miguel,Ensenada,Jesús María,Hidalgo,511,19,Guerrero,Tepezalá,/,/,/
1261,1262,1268,RINL2332S62IWBW4,Sofía,Fernández,Martínez,1968-05-03,F,Figueroense,XXL,XXL,29,50.70,2.00,Santander,Preparatoria,Preparatoria,Biología,Música,False,Razón 1,Profesión 4,Interés 1,72291,Puebla,La Playa,Aguascalientes,Jesús María,Gómez Farías,517,50,Sonora,El Llano,/,/,/
1262,1263,1269,SETV2464P85AQMG1,Ana,Castañeda,Valdés,1995-11-28,M,Figueroense,XS,XXL,24,81.65,2.00,Banamex,Licenciatura,Licenciatura,Física,Literatura,False,Razón 1,Profesión 5,Interés 2,39728,Guerrero,Santa María,El Llano,Pabellón de Arteaga,Medina,51,43,Campeche,Cosío,/,/,/
1263,1264,1270,ZASC5052Y29UXMD2,Leticia,Villanueva,Cuevas,1960-01-01,M,Mexicana,M,L,30,77.12,2.00,Scotiabank,Secundaria,Secundaria,Biología,Literatura,False,Razón 5,Profesión 1,Interés 4,28640,Colima,Centro,Ensenada,Asientos,Gómez Farías,877,91,San Luis Potosí,Ensenada,/,/,/
1264,1265,1271,WONG8260M63OWXJ7,Isabel,Zamora,Castillo,1987-11-27,M,Trinitense,XXL,XXL,31,54.40,2.00,Banco Azteca,Secundaria,Secundaria,Biología,Ninguna,True,Razón 2,Profesión 4,Interés 3,81895,Sinaloa,La Huerta,Tepezalá,Calvillo,Juárez,376,71,Campeche,Calvillo,/,/,/
1265,1266,1272,PEMV4872G18ONKF3,Gloria,León,Cabrera,1967-07-27,O,Sanvicentino,M,S,30,105.96,2.00,BBVA,Primaria,Primaria,Ninguna,Música,True,Razón 4,Profesión 3,Interés 2,53355,Estado de México,La Paz,Rincón de Romos,Calvillo,Díaz,210,84,Nuevo León,Asientos,/,/,/
1266,1267,1273,YUVF8129C74EQGX6,José,Fernández,Guzmán,1982-08-04,F,Mexicana,XL,M,33,116.81,2.00,Scotiabank,Primaria,Primaria,Química,Literatura,False,Razón 3,Profesión 4,Interés 2,51854,Estado de México,La Paz,Aguascalientes,Pabellón de Arteaga,Gómez,588,75,Guerrero,Cosío,/,/,/
1267,1268,1274,DEVJ4340V02ULRW6,Roberto,Villanueva,Esparza,1994-07-14,M,Nicaragüense,S,XXL,29,96.90,2.00,Banorte,Secundaria,Secundaria,Física,Teatro,False,Razón 5,Profesión 1,Interés 5,77787,Quintana Roo,La Paz,Jesús María,El Llano,Guzmán,812,89,Hidalgo,Aguascalientes,/,/,/
1268,1269,1275,SESM6307C72ORDG7,José Luis,Esparza,Martínez,1991-06-17,F,Colombiano,XL,XL,29,46.32,2.00,Scotiabank,Secundaria,Secundaria,Otro,Literatura,False,Razón 3,Profesión 2,Interés 3,28343,Colima,La Montaña,Aguascalientes,Rincón de Romos,Juárez,417,88,Querétaro,Asientos,/,/,/
1269,1270,1276,NIGP6291X89ODYF6,Guadalupe,Bautista,Rosas,1999-02-01,O,Beliceño,M,XS,33,87.84,2.00,BanCoppel,Licenciatura,Licenciatura,Ninguna,Ninguna,False,Razón 3,Profesión 2,Interés 4,86258,Tabasco,La Libertad,Cosío,Tepezalá,López,793,2,Campeche,Pabellón de Arteaga,/,/,/
1270,1271,1277,BAPP7425R40EBXB7,Luis,Cortés,Castañeda,1996-11-17,F,Francesa,L,XS,32,72.78,2.00,Banco Azteca,Licenciatura,Licenciatura,Física,Música,True,Razón 3,Profesión 5,Interés 4,43580,Hidalgo,La Sierra,Ensenada,Tepezalá,Morelos,618,35,Oaxaca,Tepezalá,/,/,/
1271,1272,1278,XAXL4004F53IFCN9,Gloria,Escobar,Cortés,1973-03-21,M,Ecuatoriano,L,S,22,83.89,2.00,Banco Azteca,Preparatoria,Preparatoria,Biología,Teatro,False,Razón 1,Profesión 5,Interés 1,65373,Nuevo León,San Miguel,Calvillo,San José de Gracia,Álvarez,89,13,Guanajuato,Pabellón de Arteaga,/,/,/
1272,1273,1279,XEHW1447H14EWZQ9,Carlos,Medina,Valenzuela,1964-02-04,O,Chileno,XL,XS,23,45.42,2.00,Inbursa,Preparatoria,Preparatoria,Química,Música,False,Razón 4,Profesión 3,Interés 2,59099,Michoacán,La Gloria,Tepezalá,Rincón de Romos,Vázquez,979,48,Chihuahua,Jesús María,/,/,/
1273,1274,1280,YAHX8865X06UWGM1,Rosa María,Aguayo,Juárez,1980-05-09,M,Argentina,L,M,29,97.97,2.00,Scotiabank,Licenciatura,Licenciatura,Biología,Literatura,False,Razón 2,Profesión 5,Interés 5,84885,Sonora,La Cañada,El Llano,Jesús María,Carrillo,386,89,Jalisco,Aguascalientes,/,/,/
1274,1275,1281,DEQQ0370H04AJFL5,Elena,Vargas,Medina,1963-11-25,F,Granadina,XXL,XXL,30,46.21,2.00,HSBC,Primaria,Primaria,Biología,Ninguna,False,Razón 4,Profesión 1,Interés 1,35527,Durango,San Miguel,Jesús María,Asientos,León,575,85,Chiapas,San José de Gracia,/,/,/
1275,1276,1282,HUYC8195V53ILBZ7,Isabel,Valencia,Ruiz,1967-11-28,M,Guyanés,S,M,26,74.77,2.00,Inbursa,Secundaria,Secundaria,Física,Teatro,True,Razón 5,Profesión 3,Interés 2,15405,Ciudad de México,La Perla,San José de Gracia,San José de Gracia,Reyes,350,29,Nayarit,Jesús María,/,/,/
1276,1277,1283,RURR4399D07UPBW1,Adriana,Gallardo,Villanueva,1985-01-25,M,Nevisiano,XL,L,28,112.50,2.00,Banorte,Licenciatura,Licenciatura,Química,Teatro,True,Razón 3,Profesión 5,Interés 5,20183,Aguascalientes,La Unión,Aguascalientes,Calvillo,Hernández,40,85,Zacatecas,Asientos,/,/,/
1277,1278,1284,HOWX8666Z11ANXP6,Alberto,Zamora,Cuevas,1998-12-26,M,Guatemalteco,XL,XS,34,82.81,2.00,Banco Azteca,Secundaria,Secundaria,Biología,Teatro,False,Razón 3,Profesión 2,Interés 2,12099,Ciudad de México,La Estrella,Ensenada,El Llano,Hernández,686,62,Coahuila,Calvillo,/,/,/
1278,1279,1285,KAHR9688H03UYZM9,Rosa,Díaz,Hernández,2000-04-06,F,Antiguana,M,S,31,119.62,2.00,BanCoppel,Licenciatura,Licenciatura,Otro,Literatura,True,Razón 1,Profesión 1,Interés 3,23271,Baja California Sur,La Libertad,Rincón de Romos,Jesús María,Aguirre,406,96,Baja California Sur,Ensenada,/,/,/
1279,1280,1286,BEVW0832R80IZQY2,Guadalupe,Fernández,Carrillo,1972-01-07,M,Chilena,S,XL,26,88.45,2.00,Santander,Secundaria,Secundaria,Química,Ninguna,False,Razón 1,Profesión 3,Interés 5,70694,Oaxaca,San José,Asientos,Jesús María,Madero,693,19,Oaxaca,Asientos,/,/,/
1280,1281,1287,KOZJ4236Q77AMNW3,Luis,Rosas,Flores,1982-07-24,F,Italiana,M,XXL,31,83.56,2.00,BBVA,Preparatoria,Preparatoria,Otro,Música,True,Razón 5,Profesión 4,Interés 1,95977,Veracruz,La Luz,Pabellón de Arteaga,El Llano,Rojas,795,24,Morelos,San José de Gracia,/,/,/
1281,1282,1288,TEQX4797X88ENNV4,Juan,Lugo,Cabrera,1969-02-04,M,Panameña,XS,S,28,72.16,2.00,HSBC,Primaria,Primaria,Otro,Música,True,Razón 3,Profesión 1,Interés 5,90942,Tlaxcala,La Perla,Rincón de Romos,Rincón de Romos,Carranza,130,11,Sonora,Pabellón de Arteaga,/,/,/
1282,1283,1289,GADB1166P63IQYK2,Roberto,Aguirre,Ramírez,1971-10-07,O,Hondureña,XL,XL,33,57.04,2.00,Banco del Bajío,Primaria,Primaria,Ninguna,Literatura,True,Razón 3,Profesión 4,Interés 5,20866,Aguascalientes,La Huerta,Ensenada,Aguascalientes,Reyes,917,6,Michoacan,Cosío,/,/,/
1283,1284,1290,GICL4973D30EJWP3,Francisco,Aguilar,Fernández,1997-11-11,F,Paraguaya,XL,M,25,40.22,2.00,BBVA,Secundaria,Secundaria,Física,Literatura,False,Razón 1,Profesión 5,Interés 3,90000,Tlaxcala,La Colina,Pabellón de Arteaga,Calvillo,López,322,80,Hidalgo,Tepezalá,/,/,/
1284,1285,1291,VIFR5183N71IYHF4,Martha,Zamora,Castillo,1989-02-15,O,Guyanés,XL,M,33,113.29,2.00,BanCoppel,Secundaria,Secundaria,Otro,Literatura,True,Razón 2,Profesión 1,Interés 3,79491,San Luis Potosí,La Palma,San José de Gracia,Jesús María,Ortiz,821,68,Durango,Pabellón de Arteaga,/,/,/
1285,1286,1292,KORW9985S24ECWT2,Norma,Pacheco,Cortés,1964-02-02,F,Francesa,XL,XL,25,118.83,2.00,Banamex,Licenciatura,Licenciatura,Física,Teatro,True,Razón 2,Profesión 2,Interés 1,62804,Morelos,La Paz,El Llano,Asientos,Martínez,689,76,Hidalgo,Cosío,/,/,/
1286,1287,1293,VOYG5561Z62ATNJ6,Rafael,Pérez,Lara,2002-10-06,M,Barbadense,XXL,L,28,45.73,2.00,HSBC,Secundaria,Secundaria,Ninguna,Artes Plásticas,True,Razón 1,Profesión 4,Interés 5,24901,Campeche,La Esperanza,Cosío,Jesús María,Cortés,810,35,Baja California Sur,San José de Gracia,/,/,/
1287,1288,1294,BEJN1138M78IJRJ3,Gloria,Cabrera,Vega,1968-05-10,F,Estadounidense,S,XXL,35,95.86,2.00,Scotiabank,Primaria,Primaria,Química,Artes Plásticas,True,Razón 3,Profesión 3,Interés 3,23683,Baja California Sur,La Fortuna,Cosío,Calvillo,Aguilar,267,45,Nuevo León,Tepezalá,/,/,/
1288,1289,1295,QUJB5606R44IBFN4,Claudia,Montes,Torres,1991-03-09,F,Costarricense,XL,L,26,108.62,2.00,Inbursa,Preparatoria,Preparatoria,Biología,Música,True,Razón 4,Profesión 2,Interés 1,20133,Aguascalientes,San Juan,Asientos,Tepezalá,Guzmán,618,57,Oaxaca,Jesús María,/,/,/
1289,1290,1296,FIZY9753R14ARXC8,Guadalupe,Navarro,Montes,2002-06-04,F,Dominicano,L,M,28,72.89,2.00,HSBC,Preparatoria,Preparatoria,Ninguna,Teatro,False,Razón 5,Profesión 2,Interés 3,77464,Quintana Roo,La Fe,Jesús María,Asientos,Ramírez,817,19,Chihuahua,Rincón de Romos,/,/,/
1290,1291,1297,QEBT8906Q65AHZK1,Nancy,Herrera,Morales,1979-03-28,M,Guayanés,XL,S,24,57.12,2.00,Banco Azteca,Primaria,Primaria,Física,Teatro,False,Razón 3,Profesión 2,Interés 5,37380,Guanajuato,San Pedro,Ensenada,Cosío,Rivera,150,20,Campeche,Tepezalá,/,/,/
1291,1292,1298,QOZH0063W36URJT8,Juan,Morales,Ramírez,1989-06-02,O,Estadounidense,S,S,26,70.32,2.00,Banorte,Licenciatura,Licenciatura,Biología,Literatura,False,Razón 5,Profesión 3,Interés 4,23395,Baja California Sur,La Soledad,Pabellón de Arteaga,San José de Gracia,Zaragoza,49,24,CDMX,San José de Gracia,/,/,/
1292,1293,1299,GOZV8879L69IYFM1,Adriana,Silva,Montes,2003-03-28,O,Dominicana,XL,XS,29,65.73,2.00,Banorte,Secundaria,Secundaria,Otro,Literatura,True,Razón 1,Profesión 2,Interés 3,61697,Michoacán,La Cumbre,El Llano,San José de Gracia,González,477,61,Oaxaca,Calvillo,/,/,/
